Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.71646","1.82457","14.59238","28.59600","0.00000","1.82457","0.71646","0.05000"
"0.71646","1.82060","14.56055","28.69600","0.00000","1.82060","0.71646","0.05000"
"0.71646","1.82031","14.55825","28.79600","0.00000","1.82031","0.71646","0.05000"
"0.71646","1.81328","14.50205","28.89600","0.00000","1.81328","0.71646","0.05000"
"0.71646","1.80962","14.47278","28.99600","0.00000","1.80962","0.71646","0.05000"
"0.71646","1.81541","14.51908","29.09600","0.00000","1.81541","0.71646","0.05000"
"0.71646","1.81565","14.52102","29.19600","0.00000","1.81565","0.71646","0.05000"
"0.71646","1.81018","14.47722","29.29600","0.00000","1.81018","0.71646","0.05000"
"0.71646","1.80630","14.44621","29.39600","0.00000","1.80630","0.71646","0.05000"
"0.71646","1.80756","14.45627","29.49600","0.00000","1.80756","0.71646","0.05000"
"0.71646","1.80491","14.43513","29.59600","0.00000","1.80491","0.71646","0.05000"
"0.71646","1.80429","14.43017","29.69600","0.00000","1.80429","0.71646","0.05000"
"0.71646","1.80512","14.43676","29.79600","0.00000","1.80512","0.71646","0.05000"
